simulation_id,node_id,x_position_m,y_position_m,height_m,role,hop_limit,antenna_gain_dbi,message_period_ms,messages_created,packets_sent,rebroadcast_packets,packets_sensed,packets_detected,packets_received,collisions,useful_packets,packets_dropped_by_delay,tx_airtime_ms,direct_neighbor_count,is_moving,gps_enabled
0,0,-67.88536549894967,28.504574795802284,1.0,CLIENT,7,2,100000,16,23,0,73,74,73,0,32,25,23975.93600000001,2,False,False
0,1,-449.21575166390016,4.904734795271963,1.0,CLIENT,7,2,100000,17,36,0,61,61,60,1,31,12,37527.55200000002,2,False,False
0,2,482.4851212216159,-96.50778520417134,1.0,CLIENT,7,2,100000,15,38,0,58,59,58,0,33,10,39612.41600000002,2,False,False

1,0,253.08487229496853,411.4453747955426,1.0,CLIENT,7,2,100000,16,28,0,69,69,69,0,32,21,29188.096000000012,2,False,False
1,1,333.08979336407225,-432.0262652042041,1.0,CLIENT,7,2,100000,17,45,0,52,52,52,0,31,4,46909.440000000024,2,False,False
1,2,411.03518181116823,274.0764947959181,1.0,CLIENT,7,2,100000,15,24,0,73,73,73,0,33,25,25018.36800000001,2,False,False

2,0,-440.9776211775577,-427.23950520442486,1.0,CLIENT,7,2,100000,16,46,0,50,51,50,0,32,2,47951.872000000025,2,False,False
2,1,295.2260782441844,-145.2659452044611,1.0,CLIENT,7,2,100000,17,28,0,69,69,68,1,31,20,29188.096000000012,2,False,False
2,2,-6.812301989789886,-24.261105204652154,1.0,CLIENT,7,2,100000,15,23,0,73,74,73,0,33,25,23975.93600000001,2,False,False

3,0,302.038378453709,-78.91922520428352,1.0,CLIENT,7,2,100000,16,34,0,63,63,63,0,32,16,35442.68800000002,2,False,False
3,1,-51.40910452626468,263.0558147952675,1.0,CLIENT,7,2,100000,17,34,0,63,63,63,0,31,15,35442.68800000002,2,False,False
3,2,323.58425818735003,328.5119747953206,1.0,CLIENT,7,2,100000,15,29,0,68,68,68,0,33,20,30230.528000000013,2,False,False

4,0,75.72742845951042,196.15249479570423,1.0,CLIENT,7,2,100000,16,30,0,67,67,67,0,32,19,31272.960000000014,2,False,False
4,1,394.16285687323204,278.1953347958017,1.0,CLIENT,7,2,100000,17,36,0,61,61,61,0,31,14,37527.55200000002,2,False,False
4,2,-33.348587690886454,385.39649479565867,1.0,CLIENT,7,2,100000,15,31,0,66,66,66,0,33,18,32315.392000000014,2,False,False

