number_of_nodes,number_of_nodes,number_of_nodes,number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
5,5,5,5,1785781155.038927,97,1800000,100000,6,48,97,388,192,191,96,95,1,47,2284.5049367862407,0.01123510044444445,0.005208333333333333,0.5,0.5026178010471204,0.0,6,6,0,2.0208333333333335,0.9947916666666666,2.0
5,5,5,5,1785781155.830435,97,1800000,100000,6,48,97,388,194,194,96,98,0,50,2597.0071455217667,0.01123510044444445,0.0,0.5,0.4948453608247423,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,5,5,5,1785781156.6201,97,1800000,100000,6,48,97,388,192,191,96,95,1,47,2270.683115452408,0.01123510044444445,0.005208333333333333,0.5,0.5026178010471204,0.0,6,6,0,2.0208333333333335,0.9947916666666666,2.0
5,5,5,5,1785781157.454605,97,1800000,100000,6,48,97,388,194,194,96,98,0,51,3231.364517715619,0.01123510044444445,0.0,0.5,0.4948453608247423,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,5,5,5,1785781158.2986019,97,1800000,100000,6,48,97,388,194,194,96,98,0,51,3128.929799532251,0.01123510044444445,0.0,0.5,0.4948453608247423,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,5,5,5,1785781159.1068969,98,1800000,100000,6,48,98,392,196,196,96,100,0,53,3223.095835710507,0.011350926222222226,0.0,0.5,0.4897959183673469,0.0,6,6,0,2.0416666666666665,1.0,2.0
5,5,5,5,1785781159.989606,97,1800000,100000,6,48,97,388,192,191,96,95,1,47,2254.1200043290232,0.01123510044444445,0.005208333333333333,0.5,0.5026178010471204,0.0,6,6,0,2.0208333333333335,0.9947916666666666,2.0
5,5,5,5,1785781160.7691479,104,1800000,100000,6,48,104,416,200,200,96,104,0,51,2663.690585825858,0.012045880888888895,0.0,0.5,0.48,0.0,6,6,0,2.1666666666666665,1.0,2.0
5,5,5,5,1785781161.5401568,99,1800000,100000,6,48,99,396,198,198,96,102,0,51,3231.665054284518,0.011466752000000005,0.0,0.5,0.48484848484848486,0.0,6,6,0,2.0625,1.0,2.0
5,5,5,5,1785781162.8875442,98,1800000,100000,6,48,98,392,196,196,96,100,0,50,3165.2896867599206,0.011350926222222226,0.0,0.5,0.4897959183673469,0.0,6,6,0,2.0416666666666665,1.0,2.0
5,5,5,5,1785781164.4277241,97,1800000,100000,6,48,97,388,194,194,96,98,0,50,2743.589009546457,0.01123510044444445,0.0,0.5,0.4948453608247423,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,5,5,5,1785781165.801245,97,1800000,100000,6,48,97,388,193,193,96,97,0,49,2240.504811285637,0.01123510044444445,0.0,0.5,0.49740932642487046,0.0,6,6,0,2.0208333333333335,1.0,2.0
5,5,5,5,1785781174.9641259,98,1800000,100000,6,48,98,392,194,193,96,97,1,49,2424.6068957217294,0.011350926222222226,0.005154639175257732,0.5,0.49740932642487046,0.0,6,6,0,2.0416666666666665,0.9948453608247423,2.0
5,5,5,5,1785781176.007008,104,1800000,100000,6,48,104,416,208,208,96,112,0,59,4454.963615011838,0.012045880888888895,0.0,0.5,0.46153846153846156,0.0,6,6,0,2.1666666666666665,1.0,2.0
5,5,5,5,1785781176.84648,103,1800000,100000,6,48,103,412,206,206,96,110,0,55,4329.648400921162,0.011930055111111115,0.0,0.5,0.46601941747572817,0.0,6,6,0,2.1458333333333335,1.0,2.0
5,5,5,5,1785781179.818602,99,1800000,100000,6,48,99,396,196,194,96,98,2,51,2676.8645770284147,0.011466752000000005,0.01020408163265306,0.5,0.4948453608247423,0.0,6,6,0,2.0625,0.9897959183673469,2.0
