simulation_id,node_id,x_position_m,y_position_m,height_m,role,hop_limit,antenna_gain_dbi,message_period_ms,messages_created,packets_sent,rebroadcast_packets,packets_sensed,packets_detected,packets_received,collisions,useful_packets,packets_dropped_by_delay,tx_airtime_ms,direct_neighbor_count,is_moving,gps_enabled
0,0,389.25166507740204,395.1859999996722,1.0,CLIENT,7,2,100000,16,49,0,91,94,86,5,32,32,51079.16800000003,2,False,False
0,1,35.9626080472689,-668.365280000483,1.0,CLIENT,7,2,100000,17,47,0,43,57,43,0,28,1,48994.304000000026,2,False,False
0,2,585.2241150980332,842.8037199998511,1.0,CLIENT,7,2,100000,15,47,0,49,59,49,0,33,1,48994.304000000026,2,False,False

1,0,-568.3517901774792,512.2946399998264,1.0,CLIENT,7,2,100000,16,38,0,45,75,45,0,22,7,39612.41600000002,2,False,False
1,1,-991.110466717421,801.6153200002238,1.0,CLIENT,7,2,100000,17,40,0,38,42,38,0,21,0,41697.28000000002,2,False,False
1,2,-786.0285454952664,-870.7450400004939,1.0,CLIENT,7,2,100000,13,47,0,4,30,4,0,3,0,48994.304000000026,2,False,False

2,0,-279.7795850745342,126.79348000022259,1.0,CLIENT,7,2,100000,16,46,0,50,51,50,0,32,2,47951.872000000025,2,False,False
2,1,-563.678235387152,917.8333999994627,1.0,CLIENT,7,2,100000,17,29,0,68,68,67,1,31,19,30230.528000000013,2,False,False
2,2,-593.8583095412946,582.203599999711,1.0,CLIENT,7,2,100000,15,22,0,74,75,74,0,33,26,22933.504000000008,2,False,False

3,0,642.3365388913402,-120.33691999991333,1.0,CLIENT,7,2,100000,16,49,0,73,98,72,1,28,22,51079.16800000003,2,False,False
3,1,-550.4496989469823,504.7248799999548,1.0,CLIENT,7,2,100000,17,53,0,14,50,14,0,8,1,55248.89600000003,2,False,False
3,2,851.537525352141,-389.2860400003306,1.0,CLIENT,7,2,100000,14,54,0,49,55,49,0,30,5,56291.32800000003,2,False,False

4,0,750.6996397919717,602.6864800002011,1.0,CLIENT,7,2,100000,16,55,0,47,58,47,0,31,3,57333.76000000003,2,False,False
4,1,364.9333376086789,489.3627199999827,1.0,CLIENT,7,2,100000,17,45,0,86,99,84,2,30,24,46909.440000000024,2,False,False
4,2,-448.66125986972605,-403.20104000000157,1.0,CLIENT,7,2,100000,14,45,0,33,66,33,0,21,2,46909.440000000024,2,False,False

5,0,981.7633571362037,368.0239200002259,1.0,CLIENT,7,2,100000,16,48,0,53,55,53,0,32,5,50036.736000000026,2,False,False
5,1,-419.0356752667015,-791.0399200000311,1.0,CLIENT,7,2,100000,17,44,0,41,52,41,0,23,4,45867.00800000002,2,False,False
5,2,71.21230095714473,268.9491199996263,1.0,CLIENT,7,2,100000,15,53,0,85,92,71,14,33,28,55248.89600000003,2,False,False

6,0,724.7970564627503,32.61675999991212,1.0,CLIENT,7,2,100000,16,52,0,50,85,50,0,31,5,54206.46400000003,2,False,False
6,1,-506.9618755592509,598.6789600000363,1.0,CLIENT,7,2,100000,17,58,0,51,81,51,0,31,9,60461.05600000003,2,False,False
6,2,-104.24403566198531,437.59892000016265,1.0,CLIENT,7,2,100000,15,36,0,110,110,109,1,33,32,37527.55200000002,2,False,False

7,0,-473.0588001313052,593.7808799997472,1.0,CLIENT,7,2,100000,16,28,0,70,70,70,0,32,23,29188.096000000012,2,False,False
7,1,-232.8063987921309,987.5197199999093,1.0,CLIENT,7,2,100000,17,35,0,63,63,63,0,31,13,36485.12000000002,2,False,False
7,2,-881.0046843700162,866.5148800001003,1.0,CLIENT,7,2,100000,15,35,0,63,63,63,0,33,13,36485.12000000002,2,False,False

8,0,509.8927489016793,196.47979999987825,1.0,CLIENT,7,2,100000,16,24,0,74,75,73,1,32,25,25018.36800000001,2,False,False
8,1,326.67355856295586,-313.0318399998558,1.0,CLIENT,7,2,100000,17,44,0,54,55,52,2,31,5,45867.00800000002,2,False,False
8,2,454.3645809694334,321.8261199997997,1.0,CLIENT,7,2,100000,15,31,0,66,68,66,0,33,18,32315.392000000014,2,False,False

9,0,318.43542808510045,-514.9663200001999,1.0,CLIENT,7,2,100000,16,47,0,61,68,61,0,32,10,48994.304000000026,2,False,False
9,1,-221.32054379873435,-207.72311999996674,1.0,CLIENT,7,2,100000,17,27,0,88,88,88,0,31,28,28145.66400000001,2,False,False
9,2,-830.6253479863595,-240.33987999987886,1.0,CLIENT,7,2,100000,15,41,0,62,74,62,0,33,14,42739.71200000002,2,False,False

10,0,330.31734704334013,-865.7356400004858,1.0,CLIENT,7,2,100000,16,51,0,50,66,50,0,31,5,53164.03200000003,2,False,False
10,1,905.2437990441947,553.4830399994536,1.0,CLIENT,7,2,100000,17,46,0,20,65,20,0,15,2,47951.872000000025,2,False,False
10,2,192.487087125959,-481.0137200004965,1.0,CLIENT,7,2,100000,15,47,0,77,97,77,0,32,23,48994.304000000026,2,False,False

11,0,-18.77343195472784,138.25943999974896,1.0,CLIENT,7,2,100000,16,31,0,66,68,66,0,32,18,32315.392000000014,2,False,False
11,1,-184.09053106239145,842.2471199996744,1.0,CLIENT,7,2,100000,17,27,0,71,72,71,0,31,22,28145.66400000001,2,False,False
11,2,-972.2578219704001,602.6864800002011,1.0,CLIENT,7,2,100000,15,41,0,57,58,56,1,33,8,42739.71200000002,2,False,False

12,0,146.78130553262963,598.9015999994742,1.0,CLIENT,7,2,100000,16,34,0,31,31,31,0,15,1,35442.68800000002,1,False,False
12,1,-950.8703678452309,-985.7386000004512,1.0,CLIENT,7,2,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
12,2,491.11931694695147,321.8261199997997,1.0,CLIENT,7,2,100000,15,31,0,34,34,34,0,16,1,32315.392000000014,1,False,False

13,0,136.0875784700451,-992.1951599999695,1.0,CLIENT,7,2,100000,16,45,0,51,51,51,0,32,3,46909.440000000024,2,False,False
13,1,526.0521586848402,-200.26467999981406,1.0,CLIENT,7,2,100000,17,24,0,72,72,72,0,31,24,25018.36800000001,2,False,False
13,2,744.2041907614524,-550.2547600004855,1.0,CLIENT,7,2,100000,15,27,0,69,69,69,0,33,21,28145.66400000001,2,False,False

14,0,846.4679065964077,-343.0882399999044,1.0,CLIENT,7,2,100000,16,29,0,69,71,68,1,32,21,30230.528000000013,2,False,False
14,1,886.7872182620168,686.2877999995277,1.0,CLIENT,7,2,100000,17,44,0,55,56,53,2,31,6,45867.00800000002,2,False,False
14,2,278.59139317775345,-90.72580000032247,1.0,CLIENT,7,2,100000,15,27,0,71,73,71,0,33,22,28145.66400000001,2,False,False

15,0,-944.4541316075677,401.7538799997004,1.0,CLIENT,7,2,100000,16,45,0,65,82,65,0,31,15,46909.440000000024,2,False,False
15,1,-412.9362902015882,-631.4070400004584,1.0,CLIENT,7,2,100000,17,42,0,78,86,78,0,31,22,43782.14400000002,2,False,False
15,2,-641.8612621336409,-791.0399200000311,1.0,CLIENT,7,2,100000,15,41,0,70,87,70,0,33,19,42739.71200000002,2,False,False

16,0,10.614514269165644,-798.053080000517,1.0,CLIENT,7,2,100000,16,45,0,69,75,69,0,32,14,46909.440000000024,2,False,False
16,1,54.97367838056493,355.6673999997841,1.0,CLIENT,7,2,100000,17,41,0,65,80,65,0,31,18,42739.71200000002,2,False,False
16,2,-870.1525317211567,-357.6711600002619,1.0,CLIENT,7,2,100000,15,35,0,73,86,73,0,33,20,36485.12000000002,2,False,False

17,0,-940.9687687134582,390.95584000006966,1.0,CLIENT,7,2,100000,14,66,0,17,61,17,0,13,4,68800.51200000003,2,False,False
17,1,444.22534345796697,474.22320000023944,1.0,CLIENT,7,2,100000,16,70,0,27,96,27,0,18,4,72970.24000000003,2,False,False
17,2,477.8115677139256,-853.6017600002729,1.0,CLIENT,7,2,100000,13,57,0,16,60,16,0,13,1,59418.62400000003,2,False,False

18,0,908.8083747317229,638.3088799996435,1.0,CLIENT,7,2,100000,14,57,0,3,24,3,0,3,0,59418.62400000003,1,False,False
18,1,-804.8019774499943,-878.5374399998034,1.0,CLIENT,7,2,100000,17,38,0,31,41,31,0,14,3,39612.41600000002,1,False,False
18,2,336.7335832810034,-743.8402399997614,1.0,CLIENT,7,2,100000,14,42,0,32,63,32,0,18,3,43782.14400000002,2,False,False

19,0,940.1766407820835,-126.45952000027478,1.0,CLIENT,7,2,100000,16,47,0,57,84,57,0,32,7,48994.304000000026,2,False,False
19,1,-383.15228001228866,-126.12556000032697,1.0,CLIENT,7,2,100000,17,52,0,56,83,56,0,31,8,54206.46400000003,2,False,False
19,2,101.15473673215632,218.2985200001596,1.0,CLIENT,7,2,100000,15,40,0,99,99,99,0,33,31,41697.28000000002,2,False,False

20,0,214.1121796302591,802.7285199997863,1.0,CLIENT,7,2,100000,16,65,0,106,158,106,0,66,23,67758.08000000003,4,False,False
20,1,-435.4327234295563,302.01115999999615,1.0,CLIENT,7,2,100000,17,62,0,185,208,164,21,65,58,64630.784000000036,4,False,False
20,2,-26.694711260033333,-697.1971600004593,1.0,CLIENT,7,2,100000,15,56,0,139,181,138,1,66,53,58376.19200000003,4,False,False
20,3,133.94883305730303,490.3645999998261,1.0,CLIENT,7,2,100000,16,39,0,203,237,189,14,66,81,40654.84800000002,4,False,False
20,4,350.04133251459206,-678.1614400002704,1.0,CLIENT,7,2,100000,18,57,0,126,193,126,0,62,42,59418.62400000003,4,False,False

21,0,661.5852476037671,518.08328000024,1.0,CLIENT,7,2,100000,16,31,0,182,182,181,0,67,72,32315.392000000014,4,False,False
21,1,982.0009955153347,653.7823600001254,1.0,CLIENT,7,2,100000,17,49,0,135,160,134,0,66,40,51079.16800000003,4,False,False
21,2,849.3987799399619,872.9714399996186,1.0,CLIENT,7,2,100000,15,35,0,167,177,166,0,68,65,36485.12000000002,4,False,False
21,3,164.04969441858958,677.0482399999171,1.0,CLIENT,7,2,100000,17,38,0,175,175,174,0,66,65,39612.41600000002,4,False,False
21,4,-274.1554767671201,606.9166399998037,1.0,CLIENT,7,2,100000,18,60,0,117,147,117,0,62,33,62545.920000000035,4,False,False

22,0,48.240590970914546,-643.6522400003903,1.0,CLIENT,7,2,100000,16,35,0,135,135,134,1,67,49,36485.12000000002,4,False,False
22,1,83.0942199153844,-287.0942800004818,1.0,CLIENT,7,2,100000,17,33,0,137,137,136,1,66,51,34400.256000000016,4,False,False
22,2,-186.38770206140845,-739.276120000211,1.0,CLIENT,7,2,100000,15,25,0,144,145,144,0,68,59,26060.80000000001,4,False,False
22,3,-721.4701191549161,-221.63812000042867,1.0,CLIENT,7,2,100000,17,43,0,126,127,126,0,66,41,44824.57600000002,4,False,False
22,4,-597.8981619876475,-429.6952000003432,1.0,CLIENT,7,2,100000,18,34,0,136,136,135,1,65,53,35442.68800000002,4,False,False

23,0,-826.1894315751633,797.6078000000592,1.0,CLIENT,7,2,100000,16,57,0,130,159,129,1,63,41,59418.62400000003,3,False,False
23,1,433.1355524299764,-889.3354800002251,1.0,CLIENT,7,2,100000,17,56,0,34,81,34,0,25,3,58376.19200000003,2,False,False
23,2,-562.3316179052218,329.0619199997235,1.0,CLIENT,7,2,100000,15,41,0,181,196,177,4,64,71,42739.71200000002,4,False,False
23,3,-881.7968123002653,562.4999599996263,1.0,CLIENT,7,2,100000,16,51,0,126,161,126,0,63,42,53164.03200000003,3,False,False
23,4,369.8445307781372,394.8520399997244,1.0,CLIENT,7,2,100000,18,71,0,125,191,111,14,54,35,74012.67200000004,4,False,False

24,0,-235.26199537686,-441.6064400003273,1.0,CLIENT,7,2,100000,16,51,0,88,125,82,6,35,26,53164.03200000003,4,False,False
24,1,-734.1441660439676,-566.9527600002488,1.0,CLIENT,7,2,100000,17,52,0,51,63,51,0,34,0,54206.46400000003,2,False,False
24,2,433.84846756793235,988.2989599995238,1.0,CLIENT,7,2,100000,14,43,0,41,55,41,0,21,6,44824.57600000002,2,False,False
24,3,659.2880766053131,803.6190799999108,1.0,CLIENT,7,2,100000,16,40,0,47,66,47,0,19,12,41697.28000000002,3,False,False
