simulation_id,node_id,x_position_m,y_position_m,height_m,role,hop_limit,antenna_gain_dbi,message_period_ms,messages_created,packets_sent,rebroadcast_packets,packets_sensed,packets_detected,packets_received,collisions,useful_packets,packets_dropped_by_delay,tx_airtime_ms,direct_neighbor_count,is_moving,gps_enabled
0,0,-1159.1956194449176,1154.0536577904643,1.0,CLIENT,3,0.0,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,0,False,False
0,1,1491.0981727063984,-881.766502209347,1.0,CLIENT,3,0.0,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
0,2,-619.7125382518607,2650.194457789983,1.0,CLIENT,3,0.0,100000,15,32,0,32,32,32,0,17,0,33357.824000000015,1,False,False
0,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,17,32,0,32,32,32,0,15,0,33357.824000000015,1,False,False
0,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

1,0,-151.98102364095385,1096.5012177902306,1.0,CLIENT,3,0.0,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,0,False,False
1,1,694.4657132638233,-1707.538262209487,1.0,CLIENT,3,0.0,100000,17,32,0,32,32,32,0,15,0,33357.824000000015,1,False,False
1,2,1357.2569502726585,-1391.278142209872,1.0,CLIENT,3,0.0,100000,15,32,0,32,32,32,0,17,0,33357.824000000015,1,False,False
1,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
1,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

2,0,-2432.667132303121,1726.7950577903357,1.0,CLIENT,3,0.0,100000,14,54,0,0,1,0,0,0,0,56291.32800000003,1,False,False
2,1,1502.1856112513253,-2698.842862209332,1.0,CLIENT,3,0.0,100000,17,37,0,37,37,37,0,18,1,38569.98400000002,1,False,False
2,2,-1.4294474009808678,2180.980657790543,1.0,CLIENT,3,0.0,100000,12,48,0,0,1,0,0,0,0,50036.736000000026,1,False,False
2,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,3,0,0,0,0,54206.46400000003,2,False,False
2,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,18,37,0,37,37,37,0,17,1,38569.98400000002,1,False,False

3,0,-1376.1926309644825,255.03333779017083,1.0,CLIENT,3,0.0,100000,16,35,0,34,35,34,0,17,2,36485.12000000002,1,False,False
3,1,-1978.7157198836853,948.3342977901845,1.0,CLIENT,3,0.0,100000,17,35,0,32,35,32,0,16,1,36485.12000000002,1,False,False
3,2,541.6966493143022,-146.05262220963397,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
3,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
3,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

4,0,46.404930321015364,1363.55789779068,1.0,CLIENT,3,0.0,100000,16,43,0,33,33,33,0,17,2,44824.57600000002,1,False,False
4,1,-263.013801067907,1348.3070577904268,1.0,CLIENT,3,0.0,100000,17,33,0,43,43,43,0,16,7,34400.256000000016,1,False,False
4,2,2081.187491257402,17.253817790155495,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
4,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
4,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

5,0,-2495.3111600811126,902.6930977907259,1.0,CLIENT,3,0.0,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,0,False,False
5,1,-1985.7641629587952,2932.6132977904044,1.0,CLIENT,3,0.0,100000,17,34,0,34,34,34,0,17,0,35442.68800000002,1,False,False
5,2,141.12333388932646,-972.2696622094406,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
5,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,17,34,0,34,34,34,0,17,0,35442.68800000002,1,False,False
5,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

6,0,-689.6425970731793,2450.9316577900127,1.0,CLIENT,3,0.0,100000,16,33,0,33,33,33,0,17,0,34400.256000000016,1,False,False
6,1,-1936.7418453929004,-551.1461022096034,1.0,CLIENT,3,0.0,100000,15,60,0,0,1,0,0,0,0,62545.920000000035,1,False,False
6,2,-1080.9499817146227,739.7206177900932,1.0,CLIENT,3,0.0,100000,12,49,0,1,1,1,0,1,0,51079.16800000003,1,False,False
6,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,17,33,0,33,33,33,0,16,0,34400.256000000016,1,False,False
6,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

7,0,892.5348832670445,-1900.789782209606,1.0,CLIENT,3,0.0,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,1,False,False
7,1,1196.4890913734719,713.2264577905426,1.0,CLIENT,3,0.0,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
7,2,-2014.1955232268883,600.6819377907298,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
7,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
7,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,6,0,0,0,0,66715.64800000003,1,False,False

8,0,1475.3381707747217,759.4242577901778,1.0,CLIENT,3,0.0,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,0,False,False
8,1,179.29580087907394,-609.032502209785,1.0,CLIENT,3,0.0,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
8,2,-2116.675133776648,5.34257779017139,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
8,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
8,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

9,0,559.8325309343387,-159.2997022094093,1.0,CLIENT,3,0.0,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,0,False,False
9,1,2226.5121321836596,-2122.093942209296,1.0,CLIENT,3,0.0,100000,17,40,0,39,48,39,0,18,6,41697.28000000002,1,False,False
9,2,301.6536048197335,1469.4232177907456,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
9,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
9,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,18,49,0,31,40,31,0,17,2,51079.16800000003,1,False,False

10,0,-1470.8318385428254,2853.1308177901706,1.0,CLIENT,3,0.0,100000,16,42,0,33,33,33,0,16,3,43782.14400000002,1,False,False
10,1,-1383.2410740390296,-288.6535422094954,1.0,CLIENT,3,0.0,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
10,2,1031.7614329938738,-460.08634220933317,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
10,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,16,33,0,42,42,42,0,16,6,34400.256000000016,1,False,False
10,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

11,0,405.0043712552063,-34.84394220961235,1.0,CLIENT,3,0.0,100000,14,55,0,1,27,1,0,1,0,57333.76000000003,1,False,False
11,1,-1974.5183324344944,2455.050497790687,1.0,CLIENT,3,0.0,100000,17,34,0,34,34,34,0,17,0,35442.68800000002,1,False,False
11,2,1077.4575189962902,-1057.7634222095262,1.0,CLIENT,3,0.0,100000,12,53,0,5,26,5,0,5,0,55248.89600000003,1,False,False
11,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,17,34,0,34,34,34,0,17,0,35442.68800000002,1,False,False
11,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

12,0,-1325.3488056377566,2324.9174177901955,1.0,CLIENT,3,0.0,100000,16,33,0,33,33,33,0,17,0,34400.256000000016,1,False,False
12,1,-1697.0947808464853,693.4114977907391,1.0,CLIENT,3,0.0,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
12,2,982.26393949042,-1079.6934622095264,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
12,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,17,33,0,33,33,33,0,16,0,34400.256000000016,1,False,False
12,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

13,0,94.63528799060256,883.8800177899748,1.0,CLIENT,3,0.0,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,0,False,False
13,1,-1174.6388374178468,-130.69046220966186,1.0,CLIENT,3,0.0,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
13,2,38.80211531894067,-1653.5480622097512,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
13,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
13,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

14,0,-1840.1227380737896,1249.677537790285,1.0,CLIENT,3,0.0,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,0,False,False
14,1,609.8052003753519,-898.7984622098492,1.0,CLIENT,3,0.0,100000,17,40,0,34,47,34,0,14,5,41697.28000000002,1,False,False
14,2,1242.5019613346365,-144.49414220961387,1.0,CLIENT,3,0.0,100000,14,48,0,28,38,28,0,17,2,50036.736000000026,1,False,False
14,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
14,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

15,0,-1777.8746902439511,-41.8571022093073,1.0,CLIENT,3,0.0,100000,14,54,0,0,4,0,0,0,0,56291.32800000003,1,False,False
15,1,-461.9541269574039,461.5319377900653,1.0,CLIENT,3,0.0,100000,15,60,0,0,3,0,0,0,0,62545.920000000035,1,False,False
15,2,200.7579140625884,-1600.2257822099111,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
15,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
15,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

16,0,1457.360681134622,348.5421377905857,1.0,CLIENT,3,0.0,100000,16,31,0,40,40,40,0,17,3,32315.392000000014,1,False,False
16,1,1111.4325985368466,382.1607777903412,1.0,CLIENT,3,0.0,100000,17,40,0,31,31,31,0,16,0,41697.28000000002,1,False,False
16,2,2677.454096998365,-3202.7885022096725,1.0,CLIENT,3,0.0,100000,15,33,0,35,38,35,0,18,2,34400.256000000016,1,False,False
16,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
16,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,18,38,0,31,33,31,0,15,0,39612.41600000002,1,False,False

17,0,-1857.229071828739,49.42529779040086,1.0,CLIENT,3,0.0,100000,14,54,0,0,8,0,0,0,0,56291.32800000003,1,False,False
17,1,-2368.9935566600416,1319.3638577907316,1.0,CLIENT,3,0.0,100000,15,60,0,0,5,0,0,0,0,62545.920000000035,1,False,False
17,2,1259.6874910789916,884.6592577903803,1.0,CLIENT,3,0.0,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
17,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
17,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

18,0,1182.1546172550354,-900.3569422098692,1.0,CLIENT,3,0.0,100000,16,45,0,52,78,52,0,29,7,46909.440000000024,2,False,False
18,1,1654.004323325165,-192.36174220977915,1.0,CLIENT,3,0.0,100000,17,45,0,53,78,53,0,28,7,46909.440000000024,2,False,False
18,2,533.4602663952942,32.28201779017979,1.0,CLIENT,3,0.0,100000,14,45,0,17,64,17,0,13,0,46909.440000000024,2,False,False
18,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
18,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

19,0,294.84274971396616,603.4649377900312,1.0,CLIENT,3,0.0,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,1,False,False
19,1,1267.5278940498458,-570.4044622100213,1.0,CLIENT,3,0.0,100000,17,32,0,34,35,34,0,15,2,33357.824000000015,2,False,False
19,2,577.9684125538124,-1140.0289022098525,1.0,CLIENT,3,0.0,100000,15,35,0,30,31,30,0,17,0,36485.12000000002,1,False,False
19,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
19,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

20,0,16.548042239681564,475.3356177900173,1.0,CLIENT,3,0.0,100000,14,54,0,0,13,0,0,0,0,56291.32800000003,3,False,False
20,1,-571.561376571679,-871.3024222096641,1.0,CLIENT,3,0.0,100000,15,60,0,0,5,0,0,0,0,62545.920000000035,2,False,False
20,2,1331.8350376092953,257.8163377902632,1.0,CLIENT,3,0.0,100000,12,49,0,1,12,1,0,1,0,51079.16800000003,1,False,False
20,3,-1390.685497062293,339.7478577906418,1.0,CLIENT,3,0.0,100000,13,52,0,0,8,0,0,0,0,54206.46400000003,2,False,False
20,4,2406.20783259919,-3001.187982209276,1.0,CLIENT,3,0.0,100000,18,36,0,36,36,36,0,18,0,37527.55200000002,1,False,False
20,5,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,9,36,0,0,0,0,0,0,0,37527.55200000002,0,False,False
20,6,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,18,36,0,36,36,36,0,18,0,37527.55200000002,1,False,False

21,0,-1542.0290331985734,1957.3387777904272,1.0,CLIENT,3,0.0,100000,16,60,0,138,158,123,15,55,49,62545.920000000035,3,False,False
21,1,-1045.786962329605,-588.9949022097526,1.0,CLIENT,3,0.0,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
21,2,-762.8196914691329,1370.4597377906562,1.0,CLIENT,3,0.0,100000,15,56,0,99,144,96,3,53,28,58376.19200000003,4,False,False
21,3,65.01598787861114,725.8056177904223,1.0,CLIENT,3,0.0,100000,14,49,0,21,49,21,0,16,0,51079.16800000003,2,False,False
21,4,-1046.3413342571328,1786.2399377905374,1.0,CLIENT,3,0.0,100000,18,40,0,147,172,142,5,54,57,41697.28000000002,4,False,False
21,5,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,3,0.0,100000,10,62,0,73,92,73,0,56,8,64630.784000000036,3,False,False
21,6,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,14,56,0,0,0,0,0,0,0,58376.19200000003,0,False,False

