number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
5,1785436217.3412201,242,1800000,100000,6,77,242,968,64,64,32,32,0,0,2099.8924850327508,0.028029838222222235,0.0,0.1038961038961039,0.5,0.9,20,2,18,3.142857142857143,1.0,0.4155844155844156
5,1785436217.8647602,234,1800000,100000,6,75,234,936,64,64,32,32,0,0,2186.814217198009,0.027103232000000012,0.0,0.10666666666666667,0.5,0.9,20,2,18,3.12,1.0,0.4266666666666667
5,1785436218.374069,228,1800000,100000,6,74,228,912,74,74,35,39,0,2,3854.1328454175114,0.026408277333333348,0.0,0.11824324324324324,0.47297297297297297,0.9,20,2,18,3.081081081081081,1.0,0.47297297297297297
5,1785436218.862848,234,1800000,100000,6,74,234,936,66,66,33,33,0,3,2707.025084251456,0.027103232000000012,0.0,0.11148648648648649,0.5,0.9,20,2,18,3.1621621621621623,1.0,0.44594594594594594
5,1785436219.35114,240,1800000,100000,6,74,240,960,76,76,33,43,0,9,5610.604363136461,0.027798186666666676,0.0,0.11148648648648649,0.4342105263157895,0.9,20,2,18,3.2432432432432434,1.0,0.44594594594594594
5,1785436219.844337,234,1800000,100000,6,76,234,936,68,68,34,34,0,0,2421.6077329776717,0.027103232000000012,0.0,0.1118421052631579,0.5,0.9,20,2,18,3.0789473684210527,1.0,0.4473684210526316
5,1785436220.333535,239,1800000,100000,6,76,239,956,67,67,34,33,0,0,2439.396333981603,0.027682360888888903,0.0,0.1118421052631579,0.5074626865671642,0.9,20,2,18,3.1447368421052633,1.0,0.4473684210526316
5,1785436220.861682,278,1800000,100000,6,70,278,1112,0,0,0,0,0,0,nan,0.03219956622222224,nan,0.0,nan,1.0,20,0,20,3.9714285714285715,0,0.0
5,1785436221.382574,278,1800000,100000,6,70,278,1112,0,0,0,0,0,0,nan,0.03219956622222224,nan,0.0,nan,1.0,20,0,20,3.9714285714285715,0,0.0
5,1785436221.9025831,243,1800000,100000,6,74,243,972,70,70,35,35,0,8,5192.632322724779,0.028145664000000018,0.0,0.11824324324324324,0.5,0.9,20,2,18,3.2837837837837838,1.0,0.47297297297297297
