simulation_id,node_id,x_position_m,y_position_m,height_m,role,hop_limit,antenna_gain_dbi,message_period_ms,messages_created,packets_sent,rebroadcast_packets,packets_sensed,packets_detected,packets_received,collisions,useful_packets,packets_dropped_by_delay,tx_airtime_ms,direct_neighbor_count,is_moving,gps_enabled
0,0,1051.4812344053994,-1570.3920222093004,1.0,CLIENT,7,2,100000,14,54,0,0,7,0,0,0,0,56291.32800000003,2,False,False
0,1,-2059.5748252711196,902.470457790497,1.0,CLIENT,7,2,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
0,2,2442.6379878175117,-2345.4018622094636,1.0,CLIENT,7,2,100000,15,35,0,34,46,34,0,19,1,36485.12000000002,2,False,False
0,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,7,2,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
0,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,18,34,0,35,35,35,0,16,1,35442.68800000002,2,False,False

1,0,526.9661952477122,137.03413779068313,1.0,CLIENT,7,2,100000,16,33,0,33,33,33,0,17,0,34400.256000000016,1,False,False
1,1,642.9091240301954,-499.15966220955454,1.0,CLIENT,7,2,100000,17,33,0,33,33,33,0,16,0,34400.256000000016,1,False,False
1,2,-631.5127407031264,1862.2714977899923,1.0,CLIENT,7,2,100000,15,39,0,31,42,31,0,16,1,40654.84800000002,1,False,False
1,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,7,2,100000,16,42,0,29,38,29,0,15,1,43782.14400000002,1,False,False
1,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

2,0,908.6116691569069,-225.42378220935802,1.0,CLIENT,7,2,100000,14,55,0,1,23,1,0,1,0,57333.76000000003,1,False,False
2,1,-1697.5699567840447,949.7814577904855,1.0,CLIENT,7,2,100000,15,65,0,5,24,5,0,5,0,67758.08000000003,2,False,False
2,2,-201.71610511318738,717.9018977906028,1.0,CLIENT,7,2,100000,12,53,0,9,59,9,0,7,1,55248.89600000003,2,False,False
2,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,7,2,100000,13,52,0,0,2,0,0,0,0,54206.46400000003,1,False,False
2,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

3,0,-554.6926307855093,164.86413779002504,1.0,CLIENT,7,2,100000,14,59,0,8,39,8,0,7,0,61503.488000000034,1,False,False
3,1,373.6427593712262,1247.6737777905983,1.0,CLIENT,7,2,100000,15,61,0,7,37,7,0,4,1,63588.352000000035,1,False,False
3,2,1308.234632706764,-929.6341022095123,1.0,CLIENT,7,2,100000,12,48,0,0,0,0,0,0,0,50036.736000000026,0,False,False
3,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,7,2,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
3,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

4,0,589.8478109944838,-1001.8807822098224,1.0,CLIENT,7,2,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,0,False,False
4,1,2280.9197770432065,-2307.6643822098245,1.0,CLIENT,7,2,100000,17,35,0,35,35,35,0,18,0,36485.12000000002,1,False,False
4,2,-814.9306526297258,1646.644657790206,1.0,CLIENT,7,2,100000,14,45,0,25,47,25,0,13,4,46909.440000000024,1,False,False
4,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,7,2,100000,14,54,0,23,43,23,0,14,3,56291.32800000003,1,False,False
4,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,18,35,0,35,35,35,0,17,0,36485.12000000002,1,False,False

5,0,727.0152649917018,-891.8966222098732,1.0,CLIENT,7,2,100000,16,40,0,47,69,47,0,23,8,41697.28000000002,2,False,False
5,1,1663.2702541086974,214.40153779072034,1.0,CLIENT,7,2,100000,17,54,0,1,24,1,0,1,0,56291.32800000003,2,False,False
5,2,155.85378795591652,-888.4457022098852,1.0,CLIENT,7,2,100000,15,39,0,40,40,40,0,24,1,40654.84800000002,2,False,False
5,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,7,2,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
5,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

6,0,-31.523923451094333,-1058.7653022093696,1.0,CLIENT,7,2,100000,16,31,0,31,31,31,0,15,0,32315.392000000014,1,False,False
6,1,-2279.0269124678866,-425.68846220996306,1.0,CLIENT,7,2,100000,15,60,0,0,0,0,0,0,0,62545.920000000035,0,False,False
6,2,322.24456211753494,-1569.5014622099668,1.0,CLIENT,7,2,100000,15,31,0,31,31,31,0,16,0,32315.392000000014,1,False,False
6,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,7,2,100000,13,52,0,0,0,0,0,0,0,54206.46400000003,0,False,False
6,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

7,0,496.1589552912597,-1321.5918222094253,1.0,CLIENT,7,2,100000,14,54,0,0,0,0,0,0,0,56291.32800000003,0,False,False
7,1,-10.141006257548236,1712.4347777902071,1.0,CLIENT,7,2,100000,17,32,0,32,36,32,0,15,0,33357.824000000015,2,False,False
7,2,-567.918361049453,1229.7512577899715,1.0,CLIENT,7,2,100000,15,32,0,32,33,32,0,17,0,33357.824000000015,2,False,False
7,3,-1406.0455996278488,2758.0643200003115,1.0,CLIENT,7,2,100000,13,52,0,0,2,0,0,0,0,54206.46400000003,2,False,False
7,4,1812.7962022920597,-2984.8899519996658,1.0,CLIENT,3,0.0,100000,16,64,0,0,0,0,0,0,0,66715.64800000003,0,False,False

8,0,-224.76213808875386,-588.4383022095758,1.0,CLIENT,7,2,100000,16,42,0,26,40,26,0,14,2,43782.14400000002,1,False,False
8,1,-110.719913056508,1950.4369377904513,1.0,CLIENT,7,2,100000,15,63,0,3,25,3,0,3,0,65673.21600000003,1,False,False
8,2,-1412.4643942034302,-381.9397022096814,1.0,CLIENT,7,2,100000,14,42,0,34,41,34,0,16,6,43782.14400000002,1,False,False
